広告ID,広告名,アカウント名,LP-CR,登録経路,出稿日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1852044387259457,"251221/清水絢吾/正直に答えてね_冒頭1/LP1-CR00727",AI_1,LP1-CR00727,"TikTok広告-AI-LP1-CR00727",2025-12-20,2025-12-22,9074.00,5,1814.80
1852044836697202,"251221/清水絢吾/正直に答えてね_冒頭7/LP1-CR00733",AI_1,LP1-CR00733,"TikTok広告-AI-LP1-CR00733",2025-12-20,2025-12-22,11265.00,3,3755.00
1852171711209473,"251222/清水絢吾/アホが天才に勝つ方法/LP1-CR00734",AI_1,LP1-CR00734,"TikTok広告-AI-LP1-CR00734",2025-12-21,2025-12-23,5461.00,2,2730.50
1852296689851761,"251224/清水絢吾/実は/LP1-CR00737",AI_1,LP1-CR00737,"TikTok広告-AI-LP1-CR00737",2025-12-23,2025-12-25,6061.00,2,3030.50
1852284763504930,"251224/清水絢吾/インタビュー→1年後悔/LP1-CR00735",AI_1,LP1-CR00735,"TikTok広告-AI-LP1-CR00735",2025-12-23,2025-12-25,3397.00,0,N/A
1852739674299521,"251229/高橋海斗/Claudeが重要/LP1-CR00738",AI_1,LP1-CR00738,"TikTok広告-AI-LP1-CR00738",2025-12-28,2025-12-30,5422.00,3,1807.33
1854392107768850,"260116/鈴木織大/パクるやつ多すぎ/LP1-CR00749",AI_1,LP1-CR00749,"TikTok広告-AI-LP1-CR00749",2026-01-15,2026-01-17,57146.00,21,2721.24
1854391756225634,"260116/清水/絶対に見て/LP1-CR00750",AI_1,LP1-CR00750,"TikTok広告-AI-LP1-CR00750",2026-01-15,2026-01-17,8567.00,2,4283.50
1854389773544578,"260116/在中悠也/借り物のAIスキル/LP1-CR00747",AI_1,LP1-CR00747,"TikTok広告-AI-LP1-CR00747",2026-01-15,2026-01-17,6505.00,2,3252.50
1854389391278130,"260116/鈴木織大/AI学ぶなリメイク（ヒカルさん）/LP1-CR00743",AI_1,LP1-CR00743,"TikTok広告-AI-LP1-CR00743",2026-01-15,2026-01-17,14001.00,4,3500.25
1854389370988706,"260116/在中悠也/生意気なスタッフ/LP1-CR00740",AI_1,LP1-CR00740,"TikTok広告-AI-LP1-CR00740",2026-01-15,2026-01-17,4524.00,1,4524.00
1854389388812546,"260116/鈴木織大/YouTube切り抜き（ChatGPT×GenSpark）/LP1-CR00746",AI_1,LP1-CR00746,"TikTok広告-AI-LP1-CR00746",2026-01-15,2026-01-17,6577.00,0,N/A
1854389388802146,"260116/鈴木織大/YouTube切り抜き（パワポ終焉）/LP1-CR00745",AI_1,LP1-CR00745,"TikTok広告-AI-LP1-CR00745",2026-01-15,2026-01-17,45398.00,28,1621.36
1854389353555137,"260116/鈴木織大/AI学ぶなリメイク（箕輪さん）/LP1-CR00742",AI_1,LP1-CR00742,"TikTok広告-AI-LP1-CR00742",2026-01-15,2026-01-17,3422.00,0,N/A
1854389353547905,"260116/在中悠也/AI学ぶなリメイク（林さん）/LP1-CR00741",AI_1,LP1-CR00741,"TikTok広告-AI-LP1-CR00741",2026-01-15,2026-01-17,6586.00,0,N/A
1854389208022337,"260116/在中悠也/Claudeが重要/LP1-CR00739",AI_1,LP1-CR00739,"TikTok広告-AI-LP1-CR00739",2026-01-15,2026-01-17,6725.00,7,960.71
1854389388793250,"260116/鈴木織大/尻込み/LP1-CR00744",AI_1,LP1-CR00744,"TikTok広告-AI-LP1-CR00744",2026-01-15,2026-01-17,20785.00,7,2969.29
1854531706446993,"260117/高橋海斗/LINE_生意気なスタッフ②/LP1-CR00752",AI_1,LP1-CR00752,"TikTok広告-AI-LP1-CR00752",2026-01-16,2026-01-18,6436.00,0,N/A
1854530544731217,"260117/高橋海斗/LINE_生意気なスタッフ/LP1-CR00751",AI_1,LP1-CR00751,"TikTok広告-AI-LP1-CR00751",2026-01-16,2026-01-18,13646.00,6,2274.33
1854531706456097,"260118/鈴木織大/パクるやつ多すぎ/LP1-CR00754",AI_1,LP1-CR00754,"TikTok広告-AI-LP1-CR00754",2026-01-17,2026-01-19,11189.00,4,2797.25
1854531706456065,"260118/鈴木織大/パクるやつ多すぎ/LP1-CR00753",AI_1,LP1-CR00753,"TikTok広告-AI-LP1-CR00753",2026-01-17,2026-01-19,10970.00,3,3656.67
1854541965873250,"260118/鈴木織大/家族CR/LP1-CR00755",AI_1,LP1-CR00755,"TikTok広告-AI-LP1-CR00755",2026-01-17,2026-01-19,6592.00,0,N/A
1854625979469921,"260119/鈴木織大/YouTube切り抜き（パワポ終焉）/LP1-CR00757",AI_1,LP1-CR00757,"TikTok広告-AI-LP1-CR00757",2026-01-18,2026-01-20,1276.00,0,N/A
1854625979469889,"260119/鈴木織大/YouTube切り抜き（パワポ終焉）/LP1-CR00756",AI_1,LP1-CR00756,"TikTok広告-AI-LP1-CR00756",2026-01-18,2026-01-20,1322.00,0,N/A
