広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85399E+15,260111/清水絢吾/セミナー開催決定Ver2冒頭2/LP2-CR00256,CR00256,LP2,TikTok広告-スキルプラス-LP2-CR00256,2026/1/12,2026/1/14,5478,0,N/A
1.85399E+15,260112/清水絢吾/セミナー開催決定Ver2冒頭2/LP2-CR00257,CR00257,LP2,TikTok広告-スキルプラス-LP2-CR00257,2026/1/12,2026/1/14,14818,2,7409
1.85409E+15,260113/鈴木織大/おーい会社員_良いサービス/LP2-CR00258,CR00258,LP2,TikTok広告-スキルプラス-LP2-CR00258,2026/1/13,2026/1/15,12709,3,4236.33
1.85409E+15,260113/鈴木織大/おーい会社員_やばい情報商材/LP2-CR00259,CR00259,LP2,TikTok広告-スキルプラス-LP2-CR00259,2026/1/13,2026/1/15,6346,1,6346
1.85409E+15,260113/鈴木織大/セミナー開催決定Ver2_やばい情報商材/LP2-CR00260,CR00260,LP2,TikTok広告-スキルプラス-LP2-CR00260,2026/1/13,2026/1/15,14307,3,4769
1.85409E+15,260113/鈴木織大/おーい会社員_お互い学習系/LP2-CR00261,CR00261,LP2,TikTok広告-スキルプラス-LP2-CR00261,2026/1/13,2026/1/15,22875,2,11437.5
1.85409E+15,260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262,CR00262,LP2,TikTok広告-スキルプラス-LP2-CR00262,2026/1/13,2026/1/15,20953,4,5238.25
1.85409E+15,260113/鈴木織大/おーい会社員_今時情報商材/LP2-CR00263,CR00263,LP2,TikTok広告-スキルプラス-LP2-CR00263,2026/1/13,2026/1/15,6680,1,6680
1.85409E+15,260113/鈴木織大/セミナー開催決定Ver2_今時情報商材/LP2-CR00264,CR00264,LP2,TikTok広告-スキルプラス-LP2-CR00264,2026/1/13,2026/1/15,6268,0,N/A
1.85409E+15,260113/鈴木織大/おーい会社員_スキルプラスは良いサービス/LP2-CR00265,CR00265,LP2,TikTok広告-スキルプラス-LP2-CR00265,2026/1/13,2026/1/15,17819,5,3563.8
