広告ID,広告名,広告タイプ,登録経路,インプレッション,クリック数,費用,CTR(%),CPM,CV数,CVR(%),CPA
1.8493E+15,1個の251119/清水絢吾/新セミナーダイジェスト/キャンペーン_CTAなし_BGM1/LP2-CR00121,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00185,0,0,0,0,0,0,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭6/LP2-CR00114,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00186,0,0,0,0,0,0,0,0
1.85102E+15,251208/清水絢吾/新ダイジェスト/UGC1/LP2-CR000142,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00187,0,0,0,0,0,3,0,0
1.85136E+15,251213/清水絢吾/二極化 セミナー/冒頭3/LP2-CR00154,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00188,0,0,0,0,0,0,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭8/LP2-CR00116,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00189,0,0,0,0,0,0,0,0
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭9/LP2-CR00177,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00190,0,0,0,0,0,0,0,0
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威2/LP2-CR000135,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00191,0,0,0,0,0,0,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭4/LP2-CR00112,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00192,0,0,0,0,0,0,0,0
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/権威_CTAなし_BGM2/LP2-CR00108,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00193,0,0,0,0,0,0,0,0
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威8/LP2-CR000141,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00194,0,0,0,0,0,1,0,0
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭10/LP2-CR00178,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00195,0,0,0,0,0,0,0,0
1.85095E+15,251208/清水絢吾/新ダイジェスト/権威5/LP2-CR000138,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00196,0,0,0,0,0,0,0,0
